source,target
Autodesk Education Suite for Architecture & Engineering,Autodesk Education Suite para Arquitetura e Engenharia
Autodesk Education Suite for Civil & Structural Engineering,Autodesk Education Suite para Engenharia Civil e Estrutural
Autodesk Education Suite for Industrial Design,Autodesk Education Suite para Desenho Industrial
Autodesk Education Suite for Mechanical Engineering,Autodesk Education Suite para Engenharia Mecânica
Autodesk Employee Purchase Program,Programa de Compras para Funcionários da Autodesk
Autodesk Engineer-to-Order Services,serviços de engenharia por encomenda da Autodesk
Autodesk Enterprise Priority Support,Autodesk Enterprise Priority Support
Autodesk flex token,token Flex Autodesk
Autodesk FLUX Design Competition,Competição de Design Autodesk FLUX
Autodesk forum,Fóruns da Autodesk
Autodesk Gallery,Galeria Autodesk
Autodesk Gold partner,Parceiros Gold Autodesk
Autodesk ID,ID Autodesk
Autodesk iiko Experience,Autodesk iiko Experience
Autodesk in the News,Autodesk e a mídia
Autodesk Industry Careers Framework for Games and Animation,Autodesk Industry Careers Framework for Games and Animation
Autodesk Infrastructure Solutions,Soluções de Infraestrutura da Autodesk
Autodesk Inside Sales Team,Equipe interna de vendas da Autodesk
Autodesk Installation Help,Ajuda da Instalação da Autodesk
Autodesk IPv4 License Manager for Mac,Autodesk IPv4 License Manager for Mac
Autodesk IPv6 License Manager for Mac,Autodesk IPv6 License Manager for Mac
Autodesk Knowledge Network,Autodesk Knowledge Network
Autodesk Labs,Autodesk Labs
Autodesk LaunchPad,Janela inicial da Autodesk
Autodesk Learning and Education,Formação e treinamento da Autodesk
Autodesk Learning Central,Autodesk Learning Central
Autodesk Legacy Program,programa Autodesk Legacy
Autodesk License Compliance Team,equipe de conformidade de licença da Autodesk
Autodesk License Manager,Autodesk License Manager
Autodesk Live,Autodesk Live
Autodesk Live Chat,Autodesk Live Chat
Autodesk Manufacturing Team,Equipe da Autodesk Manufacturing
Autodesk MasterClasses,MasterClasses Autodesk
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Official Training Courseware,Formação oficial da Autodesk
Autodesk Official Training Guides,Guias Oficiais de Treinamento da Autodesk
Autodesk Online Store,Loja on-line da Autodesk
Autodesk Online Testing Service,Serviço de teste on-line da Autodesk
Autodesk Panorama,Autodesk Panorama
Autodesk Partner Manager,Gerente de parceiro Autodesk
Autodesk Partner Marketing Platform,plataforma de marketing para os parceiros da Autodesk
Autodesk Partner Portal,Autodesk Partner Portal
Autodesk Partner Program,Programa de Parceiros Autodesk
Autodesk Partner Specializations,Especializações de parceiros da Autodesk
Autodesk Per-Incident Support,Suporte por incidente da Autodesk
Autodesk Platinum partner,Parceiros Platinum Autodesk
Autodesk Portfolio,Portfólio da Autodesk
Autodesk Preferred Industry Partner,Programa de Parceiro Preferencial da Indústria da Autodesk
Autodesk Premier Solutions Provider,Fornecedores de soluções especiais da Autodesk
Autodesk Privacy Statement,Declaração de privacidade da Autodesk
Autodesk Professional Excellence,Excelência profissional da Autodesk
Autodesk Renovation and Retrofit Playbook,Autodesk Renovation and Retrofit Playbook
Autodesk reseller,revendedor Autodesk
Autodesk Retirement Program,Programa de descontinuação de produtos da Autodesk
Autodesk Route 66 Professional Skills Training,Treinamento de habilidades profissionais Autodesk Route 66
Autodesk Sales Development Fund,Fundo de desenvolvimento de vendas da Autodesk
Autodesk sales representative,Representante de Vendas Autodesk
Autodesk Services and Support,Serviços e suporte da Autodesk
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Sign In Help,Ajuda de Login da Autodesk
