source,target
feature control frame,特徵控制框
Feature Data Object,圖徵資料物件
Feature Explorer,圖徵總管
feeder,饋線
FG,FG
FID,FID
field bus,現場匯流排
field fit,現場配合
fill pattern,填滿樣式
fillet,圓角
Filtration Bed,過濾床
final gathering,最終聚集
fit point,擬合點
fitting,配件
flat search,平面搜尋
flow direction,流動方向
flush constraint,齊平約束
fold panel,收闔面板
foul water,污水
frame,畫面
frame rate,畫面速率
free standpoint,自由樁號
free station,自由樁號
freeform design,自由形式設計
fuse,保險絲
fuzz,連綴
geodetic network point,大地路網點
geodetic transformation,大地轉換
geometric constraint,幾何約束
geospatial information,地理空間資訊
gizmo,控點
Gooch shading,谷氏描影
gradient ramp,漸層
grading plan,整地計畫
grease trap,隔油槽
grip,掣點
grip mirror,掣點鏡射
grip rotate,掣點旋轉
grip scale,掣點比例
grit chamber,沉沙池
ground,接地
ground water,地下水
Group Policy Object,群組原則物件
handhole,探孔
hardware shader,硬體描影程式
hatch pattern,填充線樣式
horizontal landing,水平連字線
host,主
hot grip,熱掣點
hot water fixture unit,熱水裝置單元
house connector,房屋接頭
i-drop Indicator,i-drop 指標
i-drop target,i-drop 目標
illuminance distance,照度距離
implied windowing,內附窗框
in-canvas tool,圖元區工具
included angle,包含角度
index color,索引顏色
industry model,產業模型
infer constraints,推論約束
information channel,資訊頻道
input type,輸入類型
insert,插入
INSERTCONTENT,INSERTCONTENT
INSERTDRAWINGASBLOCK,INSERTDRAWINGASBLOCK
inspection dimension,檢驗標註
installation code,安裝代碼
instance,實例
Interactive Create & Edit,互動式建立與編輯
interference check,干涉檢查
internal destination,內部目標
inverse linear,線性反比
inverse square,平方反比
ISA,ISA
isolator,絕緣體
isometric,等角
isoparm,結構線
junction,接頭
Keyhole Markup Language,Keyhole Markup Language
kink,扭折
KML,KML
KMZ,KMZ
knot parameterization,節點參數
knot vector,節點向量
label block,標示圖塊
lagoon,污水塘
land management,土地管理
language pack,語言套件
latitude,緯度
Launchpad,啟動台
layer,圖層
layer state,圖層狀態
Learning AutoCAD 2010,研習 AutoCAD 2010
level of smoothness,平滑度等級
license alert,授權警示
lightning arrester,避雷器
line merge,線條合併
line string,線串
linear array,線性陣列
linear dimension,線性標註
linetype,線型
link box,接頭盒
lisp file,lisp 檔案
Live Enabler,Live Enabler
live section,即時剖面
load,荷載
load tap changer,有載分接頭轉換器
location,位置
longitude,經度
lot,基地
LV board,低電壓板
MAKELISPAPP,MAKELISPAPP
MAKEPREVIEW,MAKEPREVIEW
manhole,人孔
manifold,歧管
manufacturer,製造商
markup,標記
markup set,標記集
Markup Set Manager,標記集管理員
mate constraint,貼合約束
MDE,MDE
measured length,測量長度
measurement,測量
measurement error,測量錯誤
median,平均值
mental ray,mental ray
mental ray rendering engine,mental ray 彩現引擎
MEP,MEP
merge,合併
mesh,網面
meter,計量器
meter area,計量器區域
meter model,計量器型號
midpoint,中點
migration log file,移轉記錄檔
minidump,小型傾印
minimum spanning tree,最小擴展樹
mirror line,鏡射線
MLD,MLD
mleader object,多重引線物件
model parameter,模型參數
model space,模型空間
motor,馬達
Multi Language Dictionary,多語言字典
multi-functional grip,多功能掣點
multilanguage user interface,多語言使用者介面
multi-map,多重地圖
multiple circuits,多重電路
Multiple Design Environment,多重設計環境
multi-relation,多重關係
multi-sheet,多圖紙
MvPart,多重視圖零件
My Insights for AutoCAD,AutoCAD - 我的見解
My Insights from Autodesk,Autodesk - 我的見解
Name Number,名稱號碼
named projection,具名投影
nameplate,銘牌
NANT,NANT
navigation pane,導覽窗格
NBA,NBA
NCLOB,NCLOB
nested reference,巢狀參考
network adjustment,路網調整
network surface,網路曲面
network topology,路網拓樸
network trace,路網追蹤
network tracing tool,路網追蹤工具
neutralizer,中和槽
non-ending pipe,無末端管
