source,target
DWG Extreme,DWG Extreme
DWGX,DWGX
Dynamic Switchable Graphics,Dynamic Switchable Graphics
Eagle,Eagle
EDT,EDT
Electrical 카탈로그 검색기,Electrical Catalog Browser
EMC 티어 5 시스템,EMC Tier 5 system
EMS,EMS
Enterprise Business Agreement,Enterprise Business Agreement
Enterprise Flex,Enterprise Flex
Enterprise Priority Support,Enterprise Priority Support
ESCO,ESCO
ESD,ESD
ESPC,ESPC
ETO,ETO
EUI,EUI
Express Tools,Express Tools
Fabrication Data Manager,fabrication data manager
Facebook,Facebook
FBIK,FBIK
FCS,FCS
FEED,FEED
Filmbox,Filmbox
Flex 토큰,Flex token
FLEXnet Publisher,FLEXnet Publisher
FoMT,FoMT
fps,fps
Fusion Notification Service,Fusion Notification Service
Fusion 가상 모니터링,Fusion synthetic monitoring
Fusion 공통 데이터 환경,Fusion common data experience
Fusion 데이터 액세스,Fusion Data Access
Fusion 사출 성형,Fusion Injection Molding
Fusion 상태 서비스,Fusion Health Service
Fusion 자바스크립트 서비스,Fusion JavaScript Service
Fusion 폴더 권한,Fusion Folder Permissions
GD&T 기호,GD&T symbol
GEP,GEP
GF,GF
GIS,GIS
GIS 통합,GIS integration
Global Field Promotion,global field promotion
Gnosis,Gnosis
Golden Funnel,Golden Funnel
Google Play,Google Play
GPU,GPU
Green Building Studio,Green Building Studio
Halley,Halley
HDMI 케이블,HDMI cable
HDRI,HDRI
Heads-up Design,Heads-up Design
Hitbox,Hitbox
HLSL,HLSL
Home Premium,Home Premium
Hot Fix,Hot Fix
Hotfix,Hotfix
HSM,HSM
Hypershade,Hypershade
IANA,IANA
IANA(Internet Assigned Numbers Authority),Internet Assigned Numbers Authority
IAQ,IAQ
IC,IC
i-drop,i-drop
i-drop 대상,i-drop target
IFC,IFC
Imagine Design Create,Imagine design create
Indirect Value Added Reseller,indirect value added reseller
Industry Foundation Class,Industry Foundation Classes
Install Now 도움말,Install Now Help
Instructables,Instructables
Integrated Drainage Design & Analysis,Integrated Drainage Design & Analysis
Inventor 교육 커리큘럼,Inventor Education Curriculum
IPD,IPD
ISO(International Organization for Standardization),International Organization for Standardization
ISV,ISV
IVAR,IVAR
JIT,JIT
Knowledge Network,Knowledge Network
KPI,KPI
Language Exchange,language exchange
LCA,LCA
Leadership in Energy and Environmental Design 친환경 건축물 평가 시스템,Leadership in Energy and Environmental Design Green Building Rating System
LEED,LEED
Less is more,Less is more
Lightweight Directory Access Protocol,Lightweight Directory Access Protocol
Linux 라이센스 서버,Linux license server
LTU,LTU
M&E,M&E
MAC,MAC
Mac App Store,Mac App Store
Magic Trackpad,Magic Trackpad
MatchMover,MatchMover
Maya,Maya
Maya LT,Maya LT
MBR,MBR
McAfee ePolicy Orchestrator,McAfee ePolicy Orchestrator
MDF,MDF
Media & Entertainment Collection,Media & Entertainment Collection
MEP 엔지니어,MEP engineer
Meshmixer,Meshmixer
MFG,MFG
Microsoft 기술 자료,Microsoft Knowledge Base
MIR,MIR
Mountain Lion,Mountain Lion
MQL,MQL
MSA,MSA
MSRP,MSRP
MUD,MUD
Mudbox,Mudbox
MUI,MUI
My First Plug-In,My First Plug-In
NAS,NAS
NC 프로그래밍,NC programming
NDA,NDA
Network License Manager,Network License Manager
NFR,NFR
NIC,NIC
NLM,NLM
North Star,North Star
NPI,NPI
NPS,NPS
OBJ,OBJ
Object Enabler,object enabler
One Team 360,One Team 360
One Team Conference,One Team Conference
OpenEXR,OpenEXR
OTC,OTC
Path to Volume,Path to Volume
PDM,PDM
Phoenix,Phoenix
PLM,PLM
PLM TV,PLM TV
Product Design & Manufacturing Collection,Product Design & Manufacturing Collection
PSP,PSP
PTV,PTV
Publisher 360,Publisher 360
Q&A,Q&A
QAT,QAT
RAM,RAM
Random Access Memory,random access memory
