source,target
جهاز كهربائي,electrical equipment
حاجز أمان,guardrail
حالة التحميل,load case
حالة الطبقة,layer state
حجم القفل,clip volume
حجم الهواء المتغير,variable air volume
حجم الهواء المتغير (VAV),VAV
حد الخط,line boundary
حزمة المحتوى,content pack
حساب المواد,takeoff
حقل RFI مخصص,RFI custom field
حقل النص,string field
حمل الحمل الحراري,convection load
حمل درجة الحرارة,temperature load
حمل مركز,point load
حوض,catchment
حوض التصريف,catch basin
خاصية انتشار الألوان,diffuse
خدمة كشف العناصر المتعارضة,clash service
خريطة الأساس,basemap
خريطة الفوتونات,photon map
خريطة مصغرة ثلاثية الأبعاد,3D Mini-map
خصائص الانحدار الجانبي,superelevation properties
خصائص المواد,material properties
خط الحركة السنوي للشمس,analemma
خط الملكية,property line
خط المنتصف,center line
خط المنطقة,region line
خط درجة المقطع الطولي,profile grade line
خط متعدد النقاط,polyline
خندق,trench
دائرة الطاقة,power circuit
دائرة فرعية,branch circuit
دائرة متعددة الأقطاب,multi-poled circuit
دبوس تثبيت,push pin
درجة الميلان,pitch
درجة حرارة تصميم التدفئة,heating design temperature
دعامة,hanger
دقة الاختيار,selection resolution
دليل إرشادي,walkthrough
دور,role
ذوبان الجليد,snowmelt
رُبع منطقة التقاطع,intersection quadrant
رسم تنفيذي,shop drawing
رشاش,sprinkler
ركيزة,pier
زاوية الانحراف,angle of deflection
زاوية التوهج,flare angle
زاوية الميل,tilt angle
زجاج الرؤية,vision glass
زجاج الضوء الطبيعي,daylighting glass
زخرفة الطريق,roadway decoration
سجل المستندات,document log
سرعة إيقاف تشغيل التوربين,cut-out speed wind
سرعة بدء تشغيل التوربين,cut-in speed wind
سطح,sheet
سعة التيار,ampacity
سقف المبني,built-up roof
سقف مُركب,composition roof
سقف مدحرج,rolled roof
سقيفة السقف,roof soffit
سماكة الشبكة,web thickness
شبكة الجاذبية,gravity network
شبكة الجدار الساتر,curtain wall grid
شبكة الصرف,drainage network
شبكة تقسيم الجدار,curtain grid
شبكة سلكية ملحومة,welded wire fabric
شرائط التنبيه,rumble strips
شرط التحرير,release condition
